Number of threads,Loop size,Time (ms),Throughput (ops/msec),Number of workers,Reduce system
6,Big,9472,21.115,1,Faasm distributed lock
8,Big,6387,31.314,1,Faasm distributed lock
10,Big,5902,33.887,1,Faasm distributed lock
12,Big,5045,39.643,1,Faasm distributed lock
14,Big,4487,44.573,1,Faasm distributed lock
16,Big,4064,49.213,1,Faasm distributed lock
18,Big,3787,52.812,1,Faasm distributed lock
20,Big,3699,54.069,1,Faasm distributed lock
22,Big,3229,61.939,1,Faasm distributed lock
6,Big,9183,21.779,1,Faasm distributed lock
8,Big,7011,28.527,1,Faasm distributed lock
10,Big,5579,35.849,1,Faasm distributed lock
12,Big,5029,39.769,1,Faasm distributed lock
14,Big,4123,48.508,1,Faasm distributed lock
16,Big,3639,54.96,1,Faasm distributed lock
18,Big,3782,52.882,1,Faasm distributed lock
20,Big,2768,72.254,1,Faasm distributed lock
22,Big,2594,77.101,1,Faasm distributed lock
6,Big,9198,21.744,1,Faasm distributed lock
8,Big,6398,31.26,1,Faasm distributed lock
10,Big,5848,34.2,1,Faasm distributed lock
12,Big,5289,37.814,1,Faasm distributed lock
14,Big,3806,52.549,1,Faasm distributed lock
16,Big,3679,54.363,1,Faasm distributed lock
18,Big,3387,59.049,1,Faasm distributed lock
20,Big,3077,64.998,1,Faasm distributed lock
22,Big,2637,75.844,1,Faasm distributed lock
6,Big,8842,22.619,1,Faasm distributed lock
8,Big,7061,28.325,1,Faasm distributed lock
10,Big,5284,37.85,1,Faasm distributed lock
12,Big,5038,39.698,1,Faasm distributed lock
14,Big,4453,44.914,1,Faasm distributed lock
16,Big,3831,52.206,1,Faasm distributed lock
18,Big,3689,54.215,1,Faasm distributed lock
20,Big,3085,64.83,1,Faasm distributed lock
22,Big,2801,71.403,1,Faasm distributed lock
6,Big,8889,22.5,1,Faasm distributed lock
8,Big,7123,28.078,1,Faasm distributed lock
10,Big,5906,33.864,1,Faasm distributed lock
12,Big,5070,39.448,1,Faasm distributed lock
14,Big,4463,44.813,1,Faasm distributed lock
16,Big,3983,50.213,1,Faasm distributed lock
18,Big,3393,58.945,1,Faasm distributed lock
20,Big,3419,58.497,1,Faasm distributed lock
22,Big,2606,76.746,1,Faasm distributed lock
6,Big,8787,22.761,1,Faasm distributed lock
8,Big,6754,29.612,1,Faasm distributed lock
10,Big,5850,34.188,1,Faasm distributed lock
12,Big,5069,39.456,1,Faasm distributed lock
14,Big,3994,50.075,1,Faasm distributed lock
16,Big,4007,49.913,1,Faasm distributed lock
18,Big,3393,58.945,1,Faasm distributed lock
20,Big,3419,58.497,1,Faasm distributed lock
22,Big,2610,76.628,1,Faasm distributed lock
24,Big,2997,66.733,2,Faasm distributed lock
26,Big,2633,75.959,2,Faasm distributed lock
28,Big,2959,67.59,2,Faasm distributed lock
30,Big,2243,89.166,2,Faasm distributed lock
32,Big,2450,81.633,2,Faasm distributed lock
34,Big,2372,84.317,2,Faasm distributed lock
36,Big,2018,99.108,2,Faasm distributed lock
38,Big,2104,95.057,2,Faasm distributed lock
40,Big,1758,113.766,2,Faasm distributed lock
24,Big,3012,66.401,2,Faasm distributed lock
26,Big,2837,70.497,2,Faasm distributed lock
28,Big,2693,74.267,2,Faasm distributed lock
30,Big,2334,85.69,2,Faasm distributed lock
32,Big,2483,80.548,2,Faasm distributed lock
34,Big,1799,111.173,2,Faasm distributed lock
36,Big,2287,87.451,2,Faasm distributed lock
38,Big,2175,91.954,2,Faasm distributed lock
40,Big,1609,124.301,2,Faasm distributed lock
24,Big,3597,55.602,2,Faasm distributed lock
26,Big,2792,71.633,2,Faasm distributed lock
28,Big,2707,73.883,2,Faasm distributed lock
30,Big,2561,78.094,2,Faasm distributed lock
32,Big,2336,85.616,2,Faasm distributed lock
34,Big,2117,94.473,2,Faasm distributed lock
36,Big,2216,90.253,2,Faasm distributed lock
38,Big,1669,119.832,2,Faasm distributed lock
40,Big,1717,116.482,2,Faasm distributed lock
24,Big,3011,66.423,2,Faasm distributed lock
26,Big,2538,78.802,2,Faasm distributed lock
28,Big,2682,74.571,2,Faasm distributed lock
30,Big,2583,77.429,2,Faasm distributed lock
32,Big,2327,85.948,2,Faasm distributed lock
34,Big,2373,84.282,2,Faasm distributed lock
36,Big,2267,88.222,2,Faasm distributed lock
38,Big,1688,118.483,2,Faasm distributed lock
40,Big,2111,94.742,2,Faasm distributed lock
24,Big,3384,59.102,2,Faasm distributed lock
26,Big,2523,79.271,2,Faasm distributed lock
28,Big,2722,73.475,2,Faasm distributed lock
30,Big,2587,77.31,2,Faasm distributed lock
32,Big,2140,93.458,2,Faasm distributed lock
34,Big,2069,96.665,2,Faasm distributed lock
36,Big,2278,87.796,2,Faasm distributed lock
38,Big,2196,91.075,2,Faasm distributed lock
40,Big,2109,94.832,2,Faasm distributed lock
24,Big,2989,66.912,2,Faasm distributed lock
26,Big,2808,71.225,2,Faasm distributed lock
28,Big,2380,84.034,2,Faasm distributed lock
30,Big,2585,77.369,2,Faasm distributed lock
32,Big,2514,79.554,2,Faasm distributed lock
34,Big,2418,82.713,2,Faasm distributed lock
36,Big,2294,87.184,2,Faasm distributed lock
38,Big,1874,106.724,2,Faasm distributed lock
40,Big,2115,94.563,2,Faasm distributed lock
