numThreads,type,time (ms)
20,native,3901
20,native,4216
20,native,3517
20,native,3819
20,native,4114
20,native,3401
20,native,4313
20,native,3830
20,native,4136
20,native,4596
2,native,10066
2,native,9631
2,native,10163
2,native,10295
2,native,9600
2,native,9621
2,native,9641
2,native,9624
2,native,9977
2,native,9604
2,wasm-pool,10713
2,wasm-pool,10299
2,wasm-pool,10295
2,wasm-pool,10998
2,wasm-pool,11034
2,wasm-pool,10956
2,wasm-pool,10993
2,wasm-pool,10271
2,wasm-pool,10276
2,wasm-pool,10991
20,wasm-pool,4726
20,wasm-pool,4680
20,wasm-pool,3951
20,wasm-pool,4168
20,wasm-pool,4116
20,wasm-pool,4181
20,wasm-pool,3875
20,wasm-pool,4685
20,wasm-pool,4130
20,wasm-pool,4097
